0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.9,1.0,1.0,6.0,2.881,1.0,1.0,0.0
1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.4,0.0,1.0,10.0,2.7478,0.0,1.0,0.0
13.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.6,0.0,0.0,10.0,0.6532,0.0,0.0,1.0
16.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,7.6,1.0,1.0,3.0,0.6588,0.0,1.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.9,0.0,1.0,6.0,0.6588,0.0,1.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,6.6,0.0,0.0,7.0,0.3301,0.0,0.0,1.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.5,0.0,0.0,8.0,0.828,0.0,1.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.7,0.0,0.0,8.0,3.0456,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.3,0.0,0.0,8.0,3.0456,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.8,0.0,0.0,8.0,3.0456,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.6,1.0,1.0,8.0,2.9498,1.0,1.0,0.0
44.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,6.9,0.0,1.0,15.0,2.9498,0.0,1.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.4,0.0,0.0,8.0,0.8988,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.1,0.0,0.0,8.0,0.8988,0.0,0.0,1.0
19.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.8,0.0,0.0,12.0,6.0654,0.0,1.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.6,0.0,0.0,8.0,0.6004,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.3,1.0,1.0,8.0,0.5988,0.0,0.0,1.0
3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,8.0,0.5988,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,7.3,1.0,1.0,10.0,1.266,0.0,0.0,0.0
12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,7.4,1.0,0.0,12.0,1.906011,0.0,1.0,0.0
2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.7,1.0,1.0,12.0,0.582,0.0,1.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.3,1.0,1.0,8.0,1.2504,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.5,0.0,1.0,9.0,1.2504,0.0,1.0,0.0
